tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
1615,344,224,0,454,272,5,316,38,278,263.0,0.24047810292440258,0.7595218970755975
5967,2638,1292,64,419,230,749,575,151,424,264.0,0.2795967733713571,0.7204032266286429
4359,1570,890,19,895,196,209,580,156,424,265.0,0.2463567347219321,0.7536432652780679
2699,1405,488,7,455,7,194,143,6,137,266.0,0.34266557633012423,0.6573344236698757
5151,3274,187,169,453,331,359,378,0,378,267.0,0.4338789937783048,0.5661210062216953
5768,2940,620,120,411,500,568,609,118,491,268.01,0.312891075107581,0.6871089248924189
5201,2670,493,38,1037,154,547,262,10,252,268.02,0.3291609244535784,0.6708390755464215
3369,1831,92,98,630,30,492,196,0,196,270.0,0.3601116318966754,0.6398883681033246
3237,2171,192,8,469,40,230,127,9,118,271.0,0.4824090926573145,0.5175909073426854
2708,934,342,6,511,118,446,351,0,351,272.0,0.23314570428665868,0.7668542957133413
6093,2866,663,101,1814,0,267,382,58,324,273.0,0.3307741710904796,0.6692258289095204
5033,3101,203,22,1040,18,269,380,30,350,274.0,0.4374063428540321,0.5625936571459679
4886,2917,205,34,670,29,653,378,63,315,275.0,0.40524021367070984,0.5947597863292902
4836,3227,327,300,210,0,318,454,101,353,276.0,0.47447972574043173,0.5255202742595683
5235,4887,4,0,157,0,29,158,38,120,277.01,0.8738874794861199,0.1261125205138801
4609,4411,37,87,73,0,1,0,0,0,277.02,0.9165983182789567,0.08340168172104334
3329,3119,26,1,45,25,32,81,0,81,278.0,0.8793919930093562,0.12060800699064378
7257,5637,287,114,430,14,253,522,71,451,279.0,0.6190402298919325,0.3809597701080675
4387,2011,726,86,611,0,695,258,30,228,280.0,0.2886030171098905,0.7113969828901094
2624,704,762,15,670,70,85,318,11,307,281.0,0.251693444192445,0.748306555807555
5026,1801,1267,19,1081,291,297,270,10,260,282.0,0.2506386606597544,0.7493613393402456
5020,2645,439,60,1285,11,158,422,197,225,283.0,0.3625408326851955,0.6374591673148045
5093,1718,1728,8,906,0,227,506,56,450,284.02,0.28033877169161736,0.7196612283083826
5301,1992,1471,96,490,399,540,313,19,294,284.03,0.24970241739669552,0.7502975826033045
3913,2431,366,69,230,0,281,536,0,536,285.0,0.44116517386297893,0.5588348261370211
6619,5549,0,0,443,0,68,559,15,544,286.0,0.7212983011338138,0.27870169886618623
5108,3802,188,13,448,197,114,346,70,276,287.0,0.5727506685660215,0.4272493314339785
3147,2027,230,57,213,33,392,195,39,156,288.01,0.4471987938942258,0.5528012061057742
6714,2941,1676,62,1008,134,353,540,23,517,288.02,0.29239113642556974,0.7076088635744302
3355,2524,106,0,409,0,1,315,12,303,289.01,0.598814590408248,0.401185409591752
6818,2889,697,47,1146,319,1418,302,28,274,289.02,0.2673372238396094,0.7326627761603905
4644,3569,79,0,434,69,178,315,30,285,290.01,0.6097423828992946,0.3902576171007054
5834,3331,791,52,853,0,173,634,129,505,290.03,0.38651068312208564,0.6134893168779143
3792,1825,811,37,274,189,389,267,90,177,290.04,0.30339181476882265,0.6966081852311774
3270,1487,761,0,723,10,14,275,56,219,291.01,0.3217122576663019,0.6782877423336982
4142,2275,348,19,888,20,155,437,76,361,291.02,0.3752077096022165,0.6247922903977835
3950,1994,615,278,242,81,296,444,13,431,292.03,0.31836897933023567,0.6816310206697643
7176,3575,817,227,1426,19,617,495,112,383,292.04,0.3168935742391646,0.6831064257608355
4484,2358,303,316,452,343,521,191,72,119,292.05,0.3183610613532425,0.6816389386467575
4401,2368,295,102,371,433,528,304,7,297,292.06,0.3350460877779683,0.6649539122220317
7388,3511,877,71,1918,216,195,600,111,489,293.03,0.32017815072892164,0.6798218492710784
5024,3062,292,16,1324,0,93,237,0,237,293.04,0.4490914549652115,0.5509085450347885
3866,2241,123,0,786,289,196,231,0,231,293.05,0.3936626737025052,0.6063373262974948
