yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2001,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Art,ART,English,English,David E. Brown
1946,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Art,Art,ART,,,Par.H.Martin
2008,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Ishmael Beah
2002,1,1,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Mawi Asgedom
1950,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Watson-Guptill
2006,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Blaine Brownell
1979,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Comedy,Comedy,COM,English,English,David Lodge
1928,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Music,Music,MU,French,,Martin Henry
1993,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,"English, Achinese",English,Dorothy Allison
2005,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,English,English,Rene Goscinny
2011,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,English,English,Geronimo Stilton
2005,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,English,English,Geronimo Stilton
2006,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,English,English,John Flanagan
2005,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,"English, Italian",English,Geronimo Stilton
2006,1,0,0,Columbia City,ColumbiaCity4,Fiction,Childrens,Null,Null,NU,English,English,Geronimo Stilton
2017,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,Romance,Romance,ROM,English,English,Carrie Mesrobian
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Romance,Romance,ROM,English,,Stuart Shotwell
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Adult,Romance,Romance,ROM,English,,Stuart Shotwell
2009,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Rick Riordan
2007,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Rick Riordan
2008,1,0,0,Columbia City,ColumbiaCity4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Rick Riordan
1984,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,David E. Brown
1982,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,David E. Brown
1999,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Cookery,Cookery,CO,English,English,David E. Brown
2018,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,History,History,H,English,English,David E. Brown
2015,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Politics,Politics,POL,English,,Pittsburg Cultural Trust
2002,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,David E. Brown
2001,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,Suspense,Suspense,SUS,English,English,David E. Brown
2017,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Jeannette Walls
2004,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Lorna Landvik
2009,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Jeffrey Archer
2005,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Alexander McCall Smith
1997,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Dick Francis
2002,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Charles Todd
1982,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,NU,English,English,Patrick Skene Catling
2005,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Childrens,Null,Null,NU,English,English,Rev. W. Awdry
2018,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Romance,Romance,ROM,English,English,Maisey Yates
2014,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Romance,Romance,ROM,English,English,Lorelei James
1997,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Richard Carlson
2010,1,0,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Joan Wellman
2009,1,1,0,Laurelhurst,Laurelhurst1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Greg Bell
2002,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Tom Clancy
2003,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Classics,Classics,CL,English,English,Jane Austen
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Sue Harrison
1987,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Patricia Moyes
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Ellis Peters
2004,1,0,0,Laurelhurst,Laurelhurst2,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Jill Rappaport
2006,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,NU,English,English,Jeff Stone
1990,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Childrens,Null,Null,NU,English,English,Robert Newton Peck
1983,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Frank Herbert
2011,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Sherrilyn Kenyon
1994,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Orson Scott Card
