yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,languages,originalLang
1995,1,1,0,Montlake,Montlake5,Fiction,Adult,Novel,History,English,English
2006,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
1997,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
2008,1,0,0,Montlake,Montlake5,Fiction,Adult,Novel,Null,English,English
2010,1,0,1,Montlake,Montlake5,Nonfiction,Adult,Reference,Null,,
2003,1,1,0,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
2016,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Self Help/Health,Null,English,English
2018,1,0,0,Montlake,Montlake5,Fiction,Adult,Thriller/Suspense,Null,English,English
2018,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Travel,Null,English,English
2018,1,0,0,Montlake,Montlake5,Nonfiction,Adult,Travel,Null,English,English
2004,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,English,English
2002,1,0,0,Montlake,Montlake6,Nonfiction,Adult,Cookery,Null,English,English
1997,1,0,0,Montlake,Montlake6,Fiction,Adult,Mystery,Null,English,English
2009,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1992,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1986,1,0,0,Montlake,Montlake6,Fiction,Adult,Novel,Null,English,English
1974,1,0,0,Montlake,Montlake6,Fiction,Adult,Poetry,Null,English,English
