#Caste is Not a Rumour: The Online Diary of Rohith Vemula,Rohith Vemula,https://www.goodreads.com/author/show/15609828.Rohith_Vemula,3.97,34,https://goodreads.com/book/show/31443092-caste-is-not-a-rumour
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,https://www.goodreads.com/author/show/4841310.Benjamin_Alire_S_enz,4.34,236750,https://goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
Around India in 80 Trains,Monisha Rajesh,https://www.goodreads.com/author/show/6473444.Monisha_Rajesh,3.36,1699,https://goodreads.com/book/show/19233253-around-india-in-80-trains
Artichoke Hearts,Sita Brahmachari,https://www.goodreads.com/author/show/4322576.Sita_Brahmachari,3.81,1251,https://goodreads.com/book/show/9208646-artichoke-hearts
"Aru Shah and the End of Time (Pandava Quartet, #1)",Roshani Chokshi,https://www.goodreads.com/author/show/13695109.Roshani_Chokshi,4.08,11803,https://goodreads.com/book/show/36222611-aru-shah-and-the-end-of-time
Ascension,Jacqueline Koyanagi,https://www.goodreads.com/author/show/7038434.Jacqueline_Koyanagi,3.57,1389,https://goodreads.com/book/show/18277661-ascension
"Ascension (Tangled Axon, #1)",Jacqueline Koyanagi,https://www.goodreads.com/author/show/7038434.Jacqueline_Koyanagi,3.57,1389,https://goodreads.com/book/show/17751274-ascension
Asian Americans: An Interpretive History,Sucheng Chan,https://www.goodreads.com/author/show/3914.Sucheng_Chan,3.65,82,https://goodreads.com/book/show/5746.Asian_Americans
Asian Americans: Emerging Minorities,Harry H.L. Kitano,https://www.goodreads.com/author/show/989252.Harry_H_L_Kitano,3.29,7,https://goodreads.com/book/show/2334324.Asian_Americans
Assata: An Autobiography,Assata Shakur,https://www.goodreads.com/author/show/57925.Assata_Shakur,4.52,16381,https://goodreads.com/book/show/100322.Assata
At Her Feet,Rebekah Weatherspoon,https://www.goodreads.com/author/show/4567695.Rebekah_Weatherspoon,3.74,583,https://goodreads.com/book/show/17290869-at-her-feet
At Last,Billy London,https://www.goodreads.com/author/show/4933112.Billy_London,3.9,375,https://goodreads.com/book/show/11663898-at-last
At the Bottom of the River,Jamaica Kincaid,https://www.goodreads.com/author/show/39237.Jamaica_Kincaid,3.77,1243,https://goodreads.com/book/show/69722.At_the_Bottom_of_the_River
Autobiography of My Mother,Jamaica Kincaid,https://www.goodreads.com/author/show/39237.Jamaica_Kincaid,3.73,3114,https://goodreads.com/book/show/1170366.Autobiography_of_My_Mother
Autobiography of Yukichi Fukuzawa,Yukichi Fukuzawa,https://www.goodreads.com/author/show/740503.Yukichi_Fukuzawa,3.98,427,https://goodreads.com/book/show/1596229.Autobiography_of_Yukichi_Fukuzawa
Autumn and Summer,Danielle Allen,https://www.goodreads.com/author/show/6523680.Danielle_Allen,3.86,113,https://goodreads.com/book/show/22380049-autumn-and-summer
Avalanche,Quincy Troupe,https://www.goodreads.com/author/show/1308.Quincy_Troupe,3.69,35,https://goodreads.com/book/show/1930.Avalanche
Babel-17,Samuel R. Delany,https://www.goodreads.com/author/show/49111.Samuel_R_Delany,3.76,11878,https://goodreads.com/book/show/1128148.Babel_17
Babygirl and the Mean Boss,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,3.86,973,https://goodreads.com/book/show/15790259-babygirl-and-the-mean-boss
Back to Life (Back to Life #1),Danielle Allen,https://www.goodreads.com/author/show/6523680.Danielle_Allen,4.28,164,https://goodreads.com/book/show/18247098-back-to-life
Bad Feminist,Roxane Gay,https://www.goodreads.com/author/show/3360355.Roxane_Gay,3.94,80304,https://goodreads.com/book/show/18813642-bad-feminist
Bad Friends,Ancco,https://www.goodreads.com/author/show/3362649.Ancco,3.52,464,https://goodreads.com/book/show/37941800-bad-friends
Ball Don't Lie,Matt de la Pena,https://www.goodreads.com/author/show/204966.Matt_de_la_Pena,3.91,1423,https://goodreads.com/book/show/357795.Ball_Don_t_Lie
Baluta,Daya Pawar,https://www.goodreads.com/author/show/650720.Daya_Pawar,4.12,329,https://goodreads.com/book/show/26211117-baluta
Bamboozled: How Americans Are Being Exploited By The Lies Of The Liberal Agenda,Angela McGlowan,https://www.goodreads.com/author/show/437789.Angela_McGlowan,3.86,29,https://goodreads.com/book/show/843895.Bamboozled
Banker To The Poor: The Story Of The Grameen Bank,Muhammad Yunus,https://www.goodreads.com/author/show/1254841.Muhammad_Yunus,4.1,9037,https://goodreads.com/book/show/869923.Banker_To_The_Poor
Barbie Chang,Victoria Chang,https://www.goodreads.com/author/show/127282.Victoria_Chang,4.33,192,https://goodreads.com/book/show/34381429-barbie-chang
Battle Royale,Koushun Takami,https://www.goodreads.com/author/show/32595.Koushun_Takami,4.23,52220,https://goodreads.com/book/show/266592.Battle_Royale
"Be My Fantasy (The Fantasy Series, #1)",Alisha Rai,https://www.goodreads.com/author/show/2987418.Alisha_Rai,3.95,230,https://goodreads.com/book/show/30043030-be-my-fantasy
Be the People: A Call to Reclaim America's Faith and Promise,Carol M. Swain,https://www.goodreads.com/author/show/109336.Carol_M_Swain,3.64,42,https://goodreads.com/book/show/11363431-be-the-people
"Bear Meets Girl (Pride, #7)",Shelly Laurenston,https://www.goodreads.com/author/show/65137.Shelly_Laurenston,4.32,11699,https://goodreads.com/book/show/12180288-bear-meets-girl
Beast (Estill County Mountain Man #1),Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.2,3681,https://goodreads.com/book/show/16050911-beast
